,z,qc,fs,u2
135181,27.02,13.962,246.346,96.4
135182,27.04,13.486,226.509,77.5
135183,27.06,12.541,232.807,49.2
135184,27.08,12.150,242.837,75.0
135185,27.10,12.728,243.839,54.3
135186,27.12,12.907,220.778,27.7
135187,27.14,12.249,214.729,37.2
135188,27.16,12.627,222.097,23.4
135189,27.18,12.671,229.216,52.1
135190,27.20,12.642,249.087,55.4
135191,27.22,12.213,243.419,22.9
135192,27.24,11.284,225.263,32.3
135193,27.26,10.702,219.692,59.3
135194,27.28,10.660,216.586,89.4
135195,27.30,11.164,213.290,116.6
135196,27.32,12.321,202.556,70.3
135197,27.34,13.342,187.048,43.4
135198,27.36,13.693,178.150,36.1
135199,27.38,13.438,182.563,37.8
135200,27.40,13.111,201.075,58.1
135201,27.42,12.468,210.373,72.2
135202,27.44,11.855,208.029,74.9
135203,27.46,11.091,207.785,115.2
135204,27.48,10.919,212.534,91.6
135205,27.50,11.305,206.411,83.9
135206,27.52,12.123,198.162,67.0
135207,27.54,12.457,183.675,46.4
135208,27.56,12.390,176.003,49.1
135209,27.58,12.265,176.577,54.0
135210,27.60,12.172,179.921,75.6
135211,27.62,12.298,178.354,86.9
135212,27.64,12.350,175.987,51.4
135213,27.66,12.331,172.506,45.5
135214,27.68,12.338,170.469,45.2
135215,27.70,12.121,168.282,34.1
135216,27.72,11.700,162.064,31.6
135217,27.74,11.483,154.796,40.8
135218,27.76,11.834,151.286,37.9
135219,27.78,12.540,146.914,35.2
135220,27.80,13.482,139.881,32.3
135221,27.82,14.243,135.132,33.3
135222,27.84,15.355,126.413,36.3
135223,27.86,16.753,116.757,28.5
135224,27.88,18.377,136.851,26.6
135225,27.90,19.595,155.607,16.4
135226,27.92,19.641,165.147,11.7
135227,27.94,18.791,172.760,7.6
135228,27.96,17.741,179.426,14.7
135229,27.98,17.016,180.890,23.0
135230,28.00,17.035,181.672,21.1
135231,28.02,17.713,178.291,39.8
135232,28.04,18.487,180.019,49.2
135233,28.06,18.684,197.475,42.4
135234,28.08,18.031,220.894,34.4
135235,28.10,16.901,222.892,36.1
135236,28.12,15.963,221.626,43.9
135237,28.14,15.413,215.616,80.1
135238,28.16,15.342,207.160,168.1
135239,28.18,17.027,200.891,191.7
135240,28.20,19.638,194.946,121.1
135241,28.22,21.646,177.601,101.8
135242,28.24,22.696,172.556,72.3
135243,28.26,23.173,191.230,56.0
135244,28.28,23.188,236.444,42.9
135245,28.30,22.735,295.738,41.9
135246,28.32,21.788,345.134,48.0
135247,28.34,19.265,339.799,58.0
135248,28.36,15.896,317.418,84.3
135249,28.38,12.539,279.300,117.7
135250,28.40,10.679,251.600,217.1
135251,28.42,11.652,227.810,343.8
135252,28.44,14.836,206.477,318.3
135253,28.46,18.139,201.232,238.2
135254,28.48,19.820,186.021,146.4
135255,28.50,20.931,167.128,130.7
135256,28.52,22.599,170.194,138.6
135257,28.54,24.024,177.291,144.5
135258,28.56,24.229,183.078,123.4
135259,28.58,23.981,188.669,130.3
135260,28.60,23.496,199.682,127.2
135261,28.62,22.855,205.895,133.2
135262,28.64,22.294,214.113,138.5
135263,28.66,21.732,211.309,161.6
135264,28.68,21.198,215.339,201.8
135265,28.70,20.264,218.811,214.1
135266,28.72,19.176,213.978,211.1
135267,28.74,17.912,206.247,220.6
135268,28.76,17.339,198.399,235.4
135269,28.78,16.865,190.159,252.1
135270,28.80,16.665,185.760,246.9
135271,28.82,16.676,187.781,218.4
135272,28.84,16.955,194.075,177.3
135273,28.86,17.664,201.056,170.9
135274,28.88,18.265,217.080,198.3
135275,28.90,18.149,224.520,221.7
135276,28.92,17.710,222.646,243.5
135277,28.94,17.893,217.184,258.9
135278,28.96,18.123,214.561,289.8
135279,28.98,17.192,209.214,273.6
135280,29.00,15.735,196.064,216.9
135281,29.02,14.247,179.944,211.1
135282,29.04,13.771,171.983,239.5
135283,29.06,14.295,183.752,281.4
135284,29.08,14.966,213.889,296.7
135285,29.10,15.009,209.106,169.0
135286,29.12,14.355,194.038,166.0
135287,29.14,12.974,189.601,140.3
135288,29.16,11.925,194.994,109.6
135289,29.18,11.951,206.786,160.0
135290,29.20,12.997,204.376,153.6
135291,29.22,13.292,190.284,119.1
135292,29.24,13.288,177.158,125.8
135293,29.26,13.685,172.309,114.5
135294,29.28,14.479,175.379,133.2
135295,29.30,15.152,181.659,120.3
135296,29.32,14.778,189.193,149.1
135297,29.34,13.925,209.165,170.2
135298,29.36,13.244,217.004,185.7
135299,29.38,12.319,195.892,222.7
135300,29.40,12.123,184.706,257.0
135301,29.42,12.110,185.396,260.5
135302,29.44,12.181,196.957,287.6
135303,29.46,12.666,202.025,195.8
135304,29.48,13.391,196.210,145.1
135305,29.50,13.380,192.713,182.7
135306,29.52,12.967,193.783,219.5
135307,29.54,13.328,192.260,265.2
135308,29.56,13.373,193.013,266.9
135309,29.58,13.535,188.396,210.4
135310,29.60,13.541,174.314,182.7
135311,29.62,13.978,157.409,233.6
135312,29.64,14.672,150.221,296.4
135313,29.66,15.284,142.560,56.9
135314,29.68,15.346,140.817,-70.3
135315,29.70,15.380,141.701,-42.4
135316,29.72,15.944,153.778,-25.8
135317,29.74,17.089,155.085,-3.5
135318,29.76,18.675,147.410,-0.9
135319,29.78,20.528,156.610,-53.6
135320,29.80,23.159,171.939,-113.1
135321,29.82,24.945,191.390,-138.5
135322,29.84,27.551,210.336,-148.8
135323,29.86,28.967,228.074,-151.4
135324,29.88,29.505,243.684,-151.9
135325,29.90,29.870,259.003,-152.9
135326,29.92,30.146,275.855,-149.5
135327,29.94,30.141,293.751,-143.8
135328,29.96,30.113,307.874,-138.3
135329,29.98,30.201,315.306,-132.3
135330,30.00,30.522,322.750,-122.5
135331,30.02,30.780,331.332,-112.7
135332,30.04,30.872,335.810,-101.0
135333,30.06,31.096,343.431,-92.4
135334,30.08,31.219,349.001,-81.5
135335,30.10,31.331,348.114,-72.2
135336,30.12,31.241,340.295,-61.3
135337,30.14,30.748,331.138,-46.6
135338,30.16,29.970,324.277,-30.2
135339,30.18,28.734,317.484,-20.3
135340,30.20,28.807,310.170,-7.3
135341,30.22,28.482,297.599,3.4
135342,30.24,28.589,283.827,11.5
135343,30.26,29.082,276.677,20.7
135344,30.28,29.446,272.921,43.3
135345,30.30,29.176,268.490,54.4
135346,30.32,28.094,264.171,54.9
135347,30.34,26.319,271.281,64.8
135348,30.36,24.111,279.140,82.7
135349,30.38,21.785,291.197,93.3
135350,30.40,19.585,284.992,97.4
135351,30.42,17.859,280.340,114.3
135352,30.44,16.865,269.477,157.6
135353,30.46,16.495,257.274,242.0
135354,30.48,16.967,243.675,305.2
135355,30.50,18.072,229.496,276.3
135356,30.52,19.961,218.517,147.2
135357,30.54,21.062,198.672,117.1
135358,30.56,22.475,186.571,80.3
135359,30.58,23.748,188.428,67.3
135360,30.60,25.357,200.781,86.5
135361,30.62,26.670,223.718,86.9
135362,30.64,27.421,245.207,85.1
135363,30.66,27.471,258.356,75.1
135364,30.68,27.682,264.704,91.2
135365,30.70,27.963,268.365,117.5
135366,30.72,28.405,278.616,142.1
135367,30.74,29.110,291.804,159.2
135368,30.76,29.750,298.706,171.0
135369,30.78,30.333,302.208,205.0
135370,30.80,30.368,307.538,192.8
135371,30.82,30.271,313.308,211.1
135372,30.84,29.940,321.287,238.5
135373,30.86,29.643,328.710,242.8
135374,30.88,29.161,330.068,251.6
135375,30.90,28.921,324.923,270.1
135376,30.92,28.824,316.903,274.2
135377,30.94,28.976,311.302,280.6
135378,30.96,29.189,318.818,288.3
135379,30.98,29.510,326.561,265.9
135380,31.00,29.500,326.209,217.2
135381,31.02,29.250,319.501,199.3
135382,31.04,28.660,325.344,223.8
135383,31.06,27.951,341.075,245.8
135384,31.08,27.088,349.317,243.7
135385,31.10,26.344,342.791,222.7
135386,31.12,24.990,356.558,220.2
135387,31.14,22.912,351.810,237.7
135388,31.16,21.494,338.977,252.7
135389,31.18,21.655,309.789,285.8
135390,31.20,22.007,284.033,329.3
135391,31.22,22.570,276.185,382.5
135392,31.24,24.953,267.753,166.9
135393,31.26,26.566,242.838,120.9
135394,31.28,28.130,236.195,100.1
135395,31.30,29.807,255.295,96.9
135396,31.32,31.617,268.331,104.3
135397,31.34,33.443,280.041,106.7
135398,31.36,34.886,285.890,128.5
135399,31.38,36.142,293.156,163.9
135400,31.40,37.126,300.220,193.6
135401,31.42,37.823,304.352,208.0
135402,31.44,38.245,307.521,224.1
135403,31.46,38.381,312.709,232.4
135404,31.48,38.368,316.429,247.1
135405,31.50,38.302,322.918,265.3
135406,31.52,38.240,329.000,274.3
135407,31.54,38.020,334.834,289.6
135408,31.56,37.624,336.650,300.6
135409,31.58,37.559,336.776,305.6
135410,31.60,37.342,337.014,305.3
135411,31.62,37.049,340.579,302.4
135412,31.64,36.733,343.999,312.8
135413,31.66,36.439,347.922,289.1
135414,31.68,36.042,349.265,276.8
135415,31.70,35.515,349.460,289.0
135416,31.72,34.795,349.494,298.5
135417,31.74,33.721,348.812,299.9
135418,31.76,32.167,343.186,298.2
135419,31.78,30.330,334.342,297.1
135420,31.80,28.432,327.903,296.6
135421,31.82,26.453,320.650,292.7
135422,31.84,24.668,311.918,294.9
135423,31.86,23.298,307.423,303.9
135424,31.88,22.360,305.941,340.5
135425,31.90,21.880,314.267,343.3
135426,31.92,21.713,319.350,301.0
135427,31.94,21.776,319.176,284.8
135428,31.96,21.765,320.865,264.4
135429,31.98,21.578,316.770,236.7
135430,32.00,20.584,302.375,181.7
135431,32.02,19.632,285.790,157.2
135432,32.04,19.066,265.267,193.6
135433,32.06,19.002,248.455,236.0
135434,32.08,19.003,236.454,223.5
135435,32.10,18.887,223.513,206.9
135436,32.12,18.970,215.815,226.7
135437,32.14,19.149,216.372,213.4
135438,32.16,19.285,215.164,220.1
135439,32.18,19.601,210.972,243.9
135440,32.20,20.042,214.263,250.2
135441,32.22,20.728,220.065,275.4
135442,32.24,21.550,227.754,290.5
135443,32.26,22.603,238.295,291.6
135444,32.28,23.820,248.656,287.2
135445,32.30,24.863,259.913,299.2
135446,32.32,25.555,273.096,300.4
135447,32.34,25.729,280.869,308.3
135448,32.36,25.498,283.133,309.7
135449,32.38,25.194,286.519,307.0
135450,32.40,24.993,287.269,316.5
135451,32.42,24.840,288.677,308.6
135452,32.44,24.681,291.567,312.3
135453,32.46,24.540,293.765,315.8
135454,32.48,24.443,295.433,328.7
135455,32.50,24.290,298.249,325.7
135456,32.52,24.076,297.943,335.5
135457,32.54,23.929,297.742,327.7
135458,32.56,23.901,298.549,325.9
135459,32.58,24.024,300.439,330.7
135460,32.60,24.294,306.690,325.8
135461,32.62,24.690,310.840,333.7
135462,32.64,24.981,313.971,341.5
135463,32.66,25.170,316.273,344.0
135464,32.68,25.349,319.332,337.4
135465,32.70,25.743,325.898,334.5
135466,32.72,26.622,335.100,337.1
135467,32.74,27.881,346.538,338.9
135468,32.76,29.171,362.105,346.9
135469,32.78,30.095,384.902,345.3
135470,32.80,30.481,399.084,346.2
135471,32.82,30.692,394.097,345.0
135472,32.84,31.143,381.209,334.5
135473,32.86,31.564,374.716,346.2
135474,32.88,32.249,361.783,341.9
135475,32.90,33.093,341.553,258.2
135476,32.92,33.152,318.242,156.4
135477,32.94,32.490,318.425,105.0
135478,32.96,31.619,328.400,76.3
135479,32.98,31.195,349.883,65.7
135480,33.00,31.371,365.340,96.4
135481,33.02,31.352,379.872,138.2
135482,33.04,30.839,389.057,180.6
135483,33.06,30.733,389.138,184.7
135484,33.08,30.179,389.379,211.2
135485,33.10,29.410,387.792,243.5
135486,33.12,28.642,382.027,243.9
135487,33.14,27.635,374.864,245.0
135488,33.16,26.512,369.630,263.4
135489,33.18,25.591,367.448,282.8
135490,33.20,25.162,366.416,281.0
135491,33.22,25.128,368.383,307.9
135492,33.24,25.358,378.043,304.4
135493,33.26,25.713,389.029,296.5
135494,33.28,25.913,386.752,304.4
135495,33.30,25.979,383.615,322.8
135496,33.32,26.251,378.557,305.5
135497,33.34,26.380,367.201,315.4
135498,33.36,26.271,352.395,306.7
135499,33.38,26.110,339.349,228.6
135500,33.40,25.924,317.451,181.5
135501,33.42,26.891,304.588,200.5
135502,33.44,28.550,300.771,227.5
135503,33.46,30.227,296.478,269.8
135504,33.48,31.315,290.229,218.0
135505,33.50,32.102,285.336,135.5
135506,33.52,31.868,278.085,89.7
135507,33.54,30.348,300.526,95.0
135508,33.56,28.475,339.293,108.9
135509,33.58,26.687,359.839,156.6
135510,33.60,25.618,402.846,234.9
135511,33.62,25.320,463.330,336.4
135512,33.64,24.238,456.425,325.6
135513,33.66,22.983,434.278,191.6
135514,33.68,23.024,399.981,232.4
135515,33.70,24.963,382.605,463.4
135516,33.72,29.772,403.684,591.6
135517,33.74,37.420,435.490,389.2
135518,33.76,46.091,446.854,123.7
135519,33.78,52.292,447.188,82.5
135520,33.80,56.692,457.805,71.4
135521,33.82,60.313,492.448,99.1
135522,33.84,63.201,542.257,102.5
135523,33.86,65.556,584.562,128.6
135524,33.88,67.440,630.989,156.2
135525,33.90,69.134,672.491,183.6
135526,33.92,70.551,702.628,223.3
135527,33.94,71.364,725.338,260.1
135528,33.96,71.799,737.560,299.4
135529,33.98,71.584,752.192,321.5
135530,34.00,71.017,757.942,340.5
135531,34.02,70.391,758.341,332.2
135532,34.04,69.141,751.299,322.7
135533,34.06,68.006,747.801,334.6
135534,34.08,66.938,740.006,366.6
135535,34.10,66.300,735.927,390.6
135536,34.12,65.938,735.527,378.6
135537,34.14,65.533,742.291,390.5
135538,34.16,65.267,756.952,358.2
135539,34.18,65.471,766.080,328.3
135540,34.20,65.432,772.939,283.4
135541,34.22,65.075,779.569,304.6
135542,34.24,64.773,783.416,319.2
135543,34.26,64.525,780.743,287.9
135544,34.28,64.021,772.409,289.0
135545,34.30,63.831,763.713,300.0
135546,34.32,63.816,756.973,334.9
135547,34.34,63.503,743.993,362.3
135548,34.36,62.513,746.084,338.0
135549,34.38,61.484,737.436,344.2
135550,34.40,60.741,733.558,348.2
135551,34.42,60.042,731.043,322.6
135552,34.44,59.692,722.443,296.2
135553,34.46,59.124,710.538,298.0
135554,34.48,58.555,702.904,330.5
135555,34.50,57.868,698.478,352.1
135556,34.52,57.119,685.046,327.9
135557,34.54,56.271,665.231,321.1
135558,34.56,55.342,660.468,311.9
135559,34.58,54.349,656.128,327.3
135560,34.60,53.313,650.248,314.6
135561,34.62,52.276,637.290,322.1
135562,34.64,50.853,625.288,330.1
135563,34.66,49.152,616.898,310.8
135564,34.68,48.010,600.404,295.4
135565,34.70,48.079,587.123,289.1
135566,34.72,49.047,576.988,300.8
135567,34.74,49.688,584.967,348.5
135568,34.76,49.466,591.667,326.4
135569,34.78,48.168,582.242,282.4
135570,34.80,46.170,556.440,273.4
135571,34.82,43.705,526.659,294.5
135572,34.84,41.129,500.675,314.0
135573,34.86,39.624,477.106,302.1
135574,34.88,38.938,456.953,290.9
135575,34.90,39.522,449.815,290.9
135576,34.92,41.476,450.879,326.3
135577,34.94,44.355,464.901,361.3
135578,34.96,47.007,494.288,382.5
135579,34.98,48.900,528.444,370.5
135580,35.00,50.460,548.703,312.6
135581,35.02,52.126,559.152,329.3
135582,35.04,53.304,565.557,371.1
135583,35.06,53.993,569.246,393.6
135584,35.08,54.708,566.463,363.8
135585,35.10,55.030,565.284,331.7
135586,35.12,55.155,558.776,361.3
135587,35.14,55.417,561.253,338.6
135588,35.16,55.695,569.328,324.4
135589,35.18,55.557,575.307,362.8
135590,35.20,55.158,585.493,380.6
135591,35.22,54.680,588.670,390.8
135592,35.24,53.830,592.221,399.8
135593,35.26,53.026,598.653,370.9
135594,35.28,52.784,602.075,355.6
135595,35.30,52.532,600.697,343.7
135596,35.32,51.746,598.500,328.1
135597,35.34,50.502,591.481,340.5
135598,35.36,49.538,579.290,362.3
135599,35.38,49.287,574.968,347.2
135600,35.40,49.578,579.145,331.5
135601,35.42,50.234,577.696,343.2
135602,35.44,50.222,585.569,379.3
135603,35.46,49.751,592.896,381.3
135604,35.48,48.566,586.887,346.9
135605,35.50,46.369,572.724,328.4
135606,35.52,45.460,557.815,332.4
135607,35.54,44.324,545.492,344.1
135608,35.56,43.471,536.770,350.8
135609,35.58,42.894,527.452,347.1
135610,35.60,42.332,517.855,321.1
135611,35.62,41.709,510.867,340.6
135612,35.64,41.513,497.662,357.9
135613,35.66,42.011,481.307,361.4
135614,35.68,42.079,474.706,361.2
135615,35.70,41.481,468.993,331.0
135616,35.72,41.095,463.366,315.5
135617,35.74,41.279,450.819,333.7
135618,35.76,42.560,455.571,343.2
135619,35.78,44.462,471.697,373.5
135620,35.80,45.385,488.039,382.9
135621,35.82,45.448,501.674,347.1
135622,35.84,46.300,496.621,325.2
135623,35.86,47.392,485.843,351.2
135624,35.88,47.598,487.283,382.2
135625,35.90,46.536,494.384,361.7
135626,35.92,45.051,490.316,299.3
135627,35.94,44.028,476.748,313.6
135628,35.96,43.471,473.965,316.9
135629,35.98,43.245,483.139,353.3
135630,36.00,43.612,490.261,347.8
135631,36.02,44.261,496.527,362.0
135632,36.04,44.506,500.292,370.8
135633,36.06,44.172,502.800,341.9
135634,36.08,43.522,499.454,332.5
135635,36.10,43.037,491.757,360.5
135636,36.12,42.782,497.582,384.7
135637,36.14,43.547,502.990,373.7
135638,36.16,45.557,503.783,383.9
135639,36.18,48.127,527.259,416.4
135640,36.20,50.210,559.798,370.2
135641,36.22,50.664,584.012,274.7
135642,36.24,50.497,593.380,277.8
135643,36.26,49.703,593.422,340.1
135644,36.28,48.225,587.625,382.2
135645,36.30,46.496,569.501,348.9
135646,36.32,44.784,541.715,331.1
135647,36.34,43.459,527.278,352.9
135648,36.36,42.278,516.165,313.8
135649,36.38,41.633,506.666,299.9
135650,36.40,41.445,501.632,319.6
135651,36.42,41.079,500.312,361.9
135652,36.44,40.618,497.060,404.5
135653,36.46,39.880,487.518,395.2
135654,36.48,38.895,474.425,387.8
135655,36.50,37.994,449.044,319.1
135656,36.52,37.203,432.352,313.9
135657,36.54,36.491,422.164,354.9
135658,36.56,36.196,414.860,341.0
135659,36.58,36.541,404.657,251.0
135660,36.60,37.219,392.077,205.2
135661,36.62,37.394,396.625,231.6
135662,36.64,37.463,400.070,278.6
135663,36.66,37.597,398.767,313.1
135664,36.68,37.858,396.184,329.4
135665,36.70,38.022,391.623,336.3
135666,36.72,37.957,399.759,361.6
135667,36.74,38.370,411.874,340.8
135668,36.76,38.887,419.766,330.2
135669,36.78,39.640,436.936,326.7
135670,36.80,40.002,448.731,315.0
135671,36.82,39.839,459.130,305.2
135672,36.84,39.399,469.098,273.5
135673,36.86,39.128,472.874,270.2
135674,36.88,39.528,471.551,275.9
135675,36.90,40.183,473.610,225.3
135676,36.92,40.535,485.328,238.2
135677,36.94,40.706,505.109,283.7
135678,36.96,40.758,518.852,273.1
135679,36.98,40.636,525.162,270.6
135680,37.00,40.356,530.251,292.8
135681,37.02,39.924,525.918,318.3
135682,37.04,39.375,523.086,325.4
135683,37.06,38.873,517.849,356.9
135684,37.08,38.502,507.420,347.2
135685,37.10,38.578,494.712,346.9
135686,37.12,38.883,488.571,342.1
135687,37.14,39.351,491.101,362.1
135688,37.16,39.953,494.082,313.6
135689,37.18,40.180,502.462,273.8
135690,37.20,40.320,509.528,291.8
135691,37.22,40.321,521.298,310.0
135692,37.24,40.348,534.394,331.7
135693,37.26,40.394,543.257,325.6
135694,37.28,40.104,549.026,325.1
135695,37.30,39.740,552.089,332.3
135696,37.32,38.949,551.636,357.3
135697,37.34,38.078,554.491,345.5
135698,37.36,37.253,548.554,353.5
135699,37.38,36.653,536.802,345.2
135700,37.40,35.922,529.847,330.0
135701,37.42,35.207,515.045,338.3
135702,37.44,34.569,499.931,328.6
135703,37.46,34.025,485.214,283.9
135704,37.48,33.522,471.206,280.6
135705,37.50,33.306,462.746,273.2
135706,37.52,33.200,464.569,272.6
135707,37.54,33.103,464.189,273.0
135708,37.56,32.929,454.912,275.0
135709,37.58,32.613,440.961,268.3
135710,37.60,32.419,430.188,273.3
135711,37.62,32.204,413.048,277.1
135712,37.64,32.616,397.714,270.5
135713,37.66,33.341,395.262,228.9
135714,37.68,34.215,406.465,244.6
135715,37.70,35.106,418.986,217.9
135716,37.72,35.514,431.225,175.1
135717,37.74,35.427,453.678,193.1
135718,37.76,35.157,472.222,212.3
135719,37.78,35.148,483.894,235.1
135720,37.80,35.200,488.132,263.7
135721,37.82,35.267,483.991,289.7
135722,37.84,35.520,483.655,301.4
135723,37.86,36.103,477.268,304.8
135724,37.88,36.824,474.560,322.6
135725,37.90,37.460,478.460,313.8
135726,37.92,37.840,491.414,321.7
135727,37.94,38.106,498.710,322.9
135728,37.96,38.085,502.023,278.4
135729,37.98,38.555,512.196,298.3
135730,38.00,38.854,525.578,321.1
135731,38.02,39.062,532.969,328.6
135732,38.04,39.297,537.086,309.0
135733,38.06,39.362,537.235,288.4
135734,38.08,39.268,542.437,311.3
135735,38.10,38.939,553.173,338.8
135736,38.12,38.595,562.815,350.1
135737,38.14,38.413,570.966,346.7
135738,38.16,38.193,574.219,336.0
135739,38.18,37.995,576.920,345.5
135740,38.20,37.887,577.100,360.5
135741,38.22,37.844,576.925,375.5
135742,38.24,37.841,571.747,382.2
135743,38.26,38.051,567.636,339.9
135744,38.28,37.965,557.877,330.5
135745,38.30,37.885,546.107,317.6
135746,38.32,37.893,530.541,301.6
135747,38.34,37.849,524.591,302.3
135748,38.36,37.743,524.856,285.9
135749,38.38,37.351,518.265,239.3
135750,38.40,36.684,512.260,250.0
135751,38.42,35.943,498.497,239.4
135752,38.44,35.462,480.563,229.1
135753,38.46,35.165,476.068,244.6
135754,38.48,35.347,473.175,264.9
135755,38.50,35.886,469.251,246.8
135756,38.52,36.199,465.076,198.0
135757,38.54,36.151,474.883,197.6
135758,38.56,35.811,490.907,221.2
135759,38.58,35.648,500.237,236.6
135760,38.60,35.531,501.476,256.3
135761,38.62,35.496,485.573,240.5
135762,38.64,35.337,473.715,251.9
135763,38.66,35.254,472.669,254.9
135764,38.68,35.499,472.884,266.2
135765,38.70,35.703,474.023,267.2
135766,38.72,36.075,480.131,264.1
135767,38.74,36.049,485.602,276.3
135768,38.76,35.900,494.371,295.6
135769,38.78,35.667,498.966,320.9
135770,38.80,35.721,488.646,324.5
135771,38.82,36.148,481.105,328.2
135772,38.84,36.579,480.422,332.3
135773,38.86,37.286,488.461,339.7
135774,38.88,37.573,500.131,301.3
135775,38.90,37.905,511.034,283.5
135776,38.92,37.799,513.331,299.2
135777,38.94,37.436,519.253,332.0
135778,38.96,37.083,517.629,330.9
135779,38.98,36.671,512.870,330.5
135780,39.00,36.457,506.070,343.3
135781,39.02,36.036,498.858,357.5
135782,39.04,35.872,493.984,351.7
135783,39.06,35.396,487.594,352.0
135784,39.08,35.626,481.700,369.9
135785,39.10,35.891,481.960,362.5
135786,39.12,36.040,485.455,332.3
135787,39.14,35.964,485.267,337.8
135788,39.16,35.843,486.792,331.1
135789,39.18,35.717,489.063,332.0
135790,39.20,35.389,492.514,335.8
135791,39.22,34.763,490.211,323.9
135792,39.24,34.134,476.563,337.1
135793,39.26,33.427,459.610,333.4
135794,39.28,32.337,460.187,343.2
135795,39.30,30.869,438.008,330.8
135796,39.32,29.466,409.736,309.1
135797,39.34,28.079,394.863,307.3
135798,39.36,26.775,360.297,342.1
135799,39.38,28.244,319.431,343.6
135800,39.40,30.013,311.782,297.5
135801,39.42,31.594,307.662,121.9
135802,39.44,32.461,324.404,-6.8
135803,39.46,33.009,361.878,-21.8
135804,39.48,32.846,398.236,-26.3
135805,39.50,32.722,418.991,-4.4
135806,39.52,32.647,421.071,16.5
135807,39.54,32.591,427.700,42.5
135808,39.56,32.542,432.352,68.9
135809,39.58,32.145,433.436,102.8
135810,39.60,31.778,432.675,116.5
135811,39.62,31.556,433.010,148.2
135812,39.64,30.945,441.452,192.4
135813,39.66,30.389,430.065,199.9
135814,39.68,29.864,415.234,221.5
135815,39.70,29.549,404.723,242.1
135816,39.72,29.411,389.088,258.8
135817,39.74,29.368,376.038,235.3
135818,39.76,29.604,375.406,209.3
135819,39.78,29.618,382.778,219.2
135820,39.80,29.888,405.104,229.9
135821,39.82,30.064,417.044,233.4
135822,39.84,30.129,430.293,229.8
135823,39.86,30.013,440.374,241.7
135824,39.88,29.577,440.300,268.6
135825,39.90,29.136,438.916,279.6
135826,39.92,28.785,429.839,284.8
135827,39.94,28.254,407.841,292.3
135828,39.96,27.762,383.217,291.7
135829,39.98,27.261,357.360,278.1
135830,40.00,26.612,334.584,281.8
135831,40.02,26.289,314.880,277.3
135832,40.04,26.025,297.114,225.9
135833,40.06,25.807,275.183,168.9
135834,40.08,25.505,275.401,156.7
135835,40.10,25.352,272.478,130.5
135836,40.12,25.445,266.357,123.8
135837,40.14,25.615,270.748,123.7
